epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5557,0.83615,2.89348,1.33879,0.34184,0.41014,0.30652,0.1532,1.90408,2.93989,2.89107,0.06725,0.000330808,0.000330808
2,174.722,0.78366,1.55499,1.26299,0.73907,0.83906,0.92961,0.78746,0.62376,1.03899,1.1823,0.0342434,0.000657566,0.000657566
3,259.551,0.74578,1.3493,1.2344,0.49129,0.5431,0.5253,0.37028,1.36653,2.50013,2.17593,0.00123025,0.000977725,0.000977725
4,345.058,0.76426,1.29142,1.23498,0.79813,0.73274,0.8668,0.71659,0.67129,1.10071,1.25169,0.0009703,0.0009703,0.0009703
5,433.034,0.702,1.14831,1.19047,0.84999,0.88248,0.95159,0.81714,0.56005,0.76639,1.11935,0.0009604,0.0009604,0.0009604
6,521.987,0.67335,1.07182,1.17317,0.93434,0.94722,0.98121,0.86991,0.4998,0.50534,1.03981,0.0009505,0.0009505,0.0009505
7,613.274,0.66334,1.01689,1.17086,0.89733,0.84239,0.95359,0.79454,0.65092,0.67767,1.21479,0.0009406,0.0009406,0.0009406
8,702.328,0.64692,0.97177,1.15751,0.85659,0.84599,0.9282,0.78835,0.64449,0.75122,1.18648,0.0009307,0.0009307,0.0009307
9,789.089,0.61464,0.9143,1.14064,0.9608,0.97075,0.99104,0.91308,0.41926,0.37482,0.96513,0.0009208,0.0009208,0.0009208
10,875.285,0.6054,0.90329,1.13376,0.95541,0.95546,0.98951,0.9084,0.43118,0.43368,0.98937,0.0009109,0.0009109,0.0009109
11,961.868,0.59689,0.85138,1.12332,0.97624,0.98422,0.99425,0.92415,0.39631,0.33133,0.95309,0.000901,0.000901,0.000901
12,1046.18,0.57886,0.80728,1.11243,0.97085,0.97839,0.99262,0.92411,0.38901,0.34183,0.93397,0.0008911,0.0008911,0.0008911
13,1129.44,0.57668,0.81689,1.11394,0.9589,0.98684,0.99302,0.93263,0.37612,0.33352,0.92653,0.0008812,0.0008812,0.0008812
14,1211.32,0.5672,0.78306,1.10276,0.9658,0.96024,0.99235,0.92545,0.38363,0.33884,0.93364,0.0008713,0.0008713,0.0008713
15,1295,0.57454,0.7803,1.1108,0.97534,0.98581,0.99436,0.93719,0.3595,0.29308,0.908,0.0008614,0.0008614,0.0008614
16,1378.22,0.55494,0.7593,1.09542,0.98255,0.98176,0.99404,0.93413,0.38001,0.31092,0.93265,0.0008515,0.0008515,0.0008515
17,1460.8,0.55128,0.73743,1.0951,0.97748,0.98068,0.99321,0.92041,0.40986,0.32551,0.94988,0.0008416,0.0008416,0.0008416
18,1543.14,0.53517,0.71451,1.08157,0.98316,0.99329,0.99435,0.9354,0.38135,0.28536,0.93193,0.0008317,0.0008317,0.0008317
19,1627.74,0.52971,0.72213,1.08341,0.98302,0.97823,0.99443,0.94529,0.35774,0.29711,0.90825,0.0008218,0.0008218,0.0008218
20,1711.62,0.52421,0.70209,1.07898,0.97019,0.9885,0.99171,0.94279,0.34274,0.28372,0.89286,0.0008119,0.0008119,0.0008119
21,1793.99,0.5367,0.69552,1.08474,0.98578,0.98547,0.9948,0.94259,0.36258,0.25891,0.90701,0.000802,0.000802,0.000802
22,1876.7,0.52631,0.6944,1.07689,0.98092,0.99211,0.99439,0.93646,0.37001,0.27556,0.92871,0.0007921,0.0007921,0.0007921
23,1958.92,0.52678,0.68378,1.08059,0.98476,0.99254,0.99444,0.94682,0.34166,0.25839,0.89408,0.0007822,0.0007822,0.0007822
24,2041.71,0.50961,0.65672,1.07158,0.98441,0.99565,0.99493,0.95327,0.31849,0.25167,0.87082,0.0007723,0.0007723,0.0007723
25,2124.73,0.5084,0.63783,1.06385,0.98586,0.99608,0.99461,0.9506,0.32458,0.22418,0.88354,0.0007624,0.0007624,0.0007624
26,2207.73,0.50893,0.64786,1.066,0.98558,0.99738,0.995,0.95695,0.32981,0.24098,0.87915,0.0007525,0.0007525,0.0007525
27,2289.83,0.51072,0.64975,1.07363,0.98856,0.99405,0.99486,0.95235,0.34488,0.24922,0.89301,0.0007426,0.0007426,0.0007426
